المسار,الوصف,المرحلة,الحجم (بايت),md5,CandidateSHA,البيئة
P123-RC-PUSH-REPORT-20260826.md,تقرير الدفع,المرحلتان 1-2,3222,0aea9cc03495aa3f6beb7466d6910578,8479d374238b71731996ad73d20d1485701d2053,RC
P123-RC-MERGE-REPORT-20260826.md,تقرير الدمج في develop,المرحلة 3,2832,7a0206047d78a2fca2282604d201f20a,8479d374238b71731996ad73d20d1485701d2053,RC
P123-RC-MERGE-CANDIDATE-TEST-REPORT-20260826.md,تقرير اختبارات قيد الدمج,المرحلة 4,3950,c23704590dade88be2426963c61cb7e8,8479d374238b71731996ad73d20d1485701d2053,RC
P123-RC-MIGRATION-PREFLIGHT-20260826.md,فحص ما قبل الهجرة على RC,المرحلة 7,2777,cd159a2693eb819b9f61ebfb54c28f0f,8479d374238b71731996ad73d20d1485701d2053,RC
P123-RC-DEPLOYMENT-REPORT-20260826.md,تقرير نشر مرشّح RC,المرحلتان 6 و8,6260,e41f97331058fc94d39e75fd4da87600,8479d374238b71731996ad73d20d1485701d2053,RC
P123-RC-SCENARIO-MATRIX-20260826.csv,مصفوفة سيناريوهات RC (91 سطرًا),المرحلتان 9 و10,23870,137bd173d48fae2f3623dba76bfbd359,8479d374238b71731996ad73d20d1485701d2053,RC
P123-RC-DEFECT-REGISTER-20260826.csv,سجلّ العيوب,المرحلتان 9 و10,3410,98e57e44e6396c193eeda2447a3fde8f,8479d374238b71731996ad73d20d1485701d2053,RC
P123-RC-PERMISSION-MATRIX-20260826.csv,مصفوفة الصلاحيّات,المرحلة 10,7846,d42e9dc0875ef365950e02e4c4761d23,8479d374238b71731996ad73d20d1485701d2053,RC
P123-RC-EVIDENCE-INDEX-20260826.csv,فهرس الأدلّة (هذا الملفّ),المرحلة 12,(يُنتَج في هذه المرحلة),-,8479d374238b71731996ad73d20d1485701d2053,RC
P123-RC-CLOSURE-NOTE-20260826.md,مذكّرة الإغلاق,المرحلة 12,(يُنتَج في هذه المرحلة),-,8479d374238b71731996ad73d20d1485701d2053,RC
P123-RC-DEPLOYMENT-AND-VALIDATION-REPORT-AR.docx,تقرير Word عربيّ RTL مصوَّر,المرحلة 12,(يُنتَج في هذه المرحلة),-,8479d374238b71731996ad73d20d1485701d2053,RC
P123-RC-DEPLOYMENT-AND-VALIDATION-REPORT-AR.pdf,نظير PDF مطابق,المرحلة 12,(يُنتَج في هذه المرحلة),-,8479d374238b71731996ad73d20d1485701d2053,RC
evidence/phase910-results.json,نتائج 69 سيناريو خامّة من RC الحيّة,المرحلتان 9 و10,27048,6bd46326a1f20e6ce90072edd344e54c,8479d374238b71731996ad73d20d1485701d2053,RC
evidence/phase910.py,مِشدّ تشغيل السيناريوهات,المرحلتان 9 و10,17865,4862707c8c57d6495b5416a30eb3e708,8479d374238b71731996ad73d20d1485701d2053,RC
evidence/phase9-extra.py,إعادة قياس S-KPI-AGG2 و S-AUDIT-DENY,المرحلة 9,2133,3ab7443f2b3a1ffb89437ca6c42ca2c7,8479d374238b71731996ad73d20d1485701d2053,RC
evidence/audit-probe.py,إعادة قياس أثر التدقيق S-AUDIT-PERM2,المرحلة 10,1342,d938314785afe59eb56c23c3d670986a,8479d374238b71731996ad73d20d1485701d2053,RC
evidence/repro-draft-leak.py,إعادة إنتاج معزولة لـDEF-P123-RC-001,المرحلة 9,3121,5c20c2ebc2541f25fe41e38c029f1577,8479d374238b71731996ad73d20d1485701d2053,RC
evidence/repro-draft-leak.json,الحمولة المسرَّبة الملتقطة,المرحلة 9,1232,6c2ed4ef10474c0c78e4d8c35f8dedb8,8479d374238b71731996ad73d20d1485701d2053,RC
evidence/seed_synth.sql,طُعم المستخدمين الاصطناعيّين (5),المرحلة 10,4301,204896333163a13fd85d43d835f9ea8c,8479d374238b71731996ad73d20d1485701d2053,RC
evidence/seed_synth.py,مولّد تجزئات كلمات المرور والطُعم,المرحلة 10,2427,f6a0645cad599d1ef49ae05eac639f3e,8479d374238b71731996ad73d20d1485701d2053,RC
evidence/cleanup.sql,تنظيف اصطناعيّ حصريّ,المرحلة 11,1813,78d0ef6eba04ebefb6f19b7e7e9e0d48,8479d374238b71731996ad73d20d1485701d2053,RC
